#wl	elem	excit	loggf	vdwaals	Do
5457.100	606.0	0.82	0.171	0.0	6.25
5457.118	23.1	2.28	-3.061	-7.87	 
5461.550	26.0	4.45	-1.700	-7.16	 
5461.550	62.0	1.806	-0.032	-7.56	 
5462.454	606.0	0.8	-3.439	0.0	6.25
5462.493	28.0	3.85	-0.774	-7.221	 
5462.959	26.0	4.47	-0.002	-7.46	 
5463.273	22.0	3.32	-2.436	-7.54	 
5463.275	26.0	4.43	-0.141	-7.166	 
5463.3	606.0	0.93	1.901	0.0	6.25
5463.464	20.0	4.88	-0.657	-7.15	 
5463.793	26.0	3.55	-3.701	-7.76	 
5463.921	28.0	3.85	-2.7960000000000003	-7.5	 
5463.964	24.0	3.44	-1.371	-7.75	 
5463.982	606.0	1.26	0.229	0.0	6.25
5464.280	26.0	4.14	-1.402	-7.77	 
5465.770	27.0	4.57	-3.798	-7.45	 
5465.773	22.0	1.07	-2.91	-7.75	 
5466.010	22.0	3.32	-0.318	-7.52	 
5466.395	26.0	4.37	-0.630	-7.51	 
5466.987	26.0	3.57	-2.233	-7.82	 
5467.379	606.0	0.78	-0.052	0.0	6.25
5467.405	26.1	6.81	-1.748	-7.835	 
5467.772	26.0	3.55	-3.612	-7.77	 
5467.792	23.0	2.37	-1.535	-7.75	 
5472.279	58.1	1.25	-1.217	0.0	 
5472.51	24.0	3.55	-3.15	-7.78	 
5472.69	22.0	1.44	-1.63	-7.7	 
5472.709	26.0	4.21	-1.425	-7.253	 
5473.163	26.0	4.19	-1.955	-7.173	 
5473.385	39.1	1.74	-0.89	-7.75	 
5473.542	22.0	2.33	-0.948	-7.72	 
5473.763	27.0	4.24	-1.932	-7.45	 
5473.905	26.0	4.15	-0.720	-7.266	 
5474.223	22.0	1.46	-1.278	-7.732	 
5474.452	22.0	2.35	-0.95	-7.72	 
5486.112	58.1	1.61	0.011	0.0	 
5486.989	23.1	2.27	-2.6010000000000004	-7.86	 
5487.147	26.0	4.42	-1.314	-7.283	 
5487.347	24.0	4.44	-5.158	-7.47	 
5487.487	26.0	5.07	-4.013999999999999	-7.26	 
5487.51	26.0	3.64	-2.37	-7.82	 
5487.524	26.0	4.19	-7.547	-7.5	 
5487.745	26.0	4.14	-0.317	-7.45	 
5487.915	23.0	2.37	0.197	-7.627	 
5488.12	27.0	4.21	-1.6	-7.51	 
5488.135	26.0	4.61	-6.105	-7.41	 
5488.178	22.0	2.4	-0.088	-7.52	 
5496.477	26.0	3.57	-3.788	-7.82	 
5496.562	26.0	4.91	-1.579	-7.345	 
5496.582	606.0	1.09	-7.081	0.0	6.25
5496.815	23.0	2.36	-2.144	-7.8	 
5497.124	606.0	1.22	0.681	0.0	6.25
5497.196	606.0	0.69	0.066	0.0	6.25
5497.41	39.1	1.75	-0.583	-7.75	 
5497.523	26.0	1.01	-2.801	-7.751	 
5497.948	22.0	0.9	-3.03	-7.718	 
5499.498	42.0	4.043	-0.532	0.0	 
5499.5885	26.0	4.473	-2.67	0.0	 
5499.8018	20.0	5.39	-2.67	-6.7	 
5500.797	606.0	0.73	-0.061	0.0	6.25
5501.465	26.0	0.96	-3.046	-7.757	 
5501.528	606.0	0.65	-5.369	0.0	6.25
5501.538	16.0	7.87	-6.125	-6.79	 
5501.611	606.0	1.05	0.853	0.0	6.25
5501.641	28.0	4.54	-2.204	-7.28	 
5501.694	606.0	0.65	-4.94	0.0	6.25
5501.702	606.0	0.9	-9.446	0.0	6.25
5501.714	606.0	0.89	-9.613	0.0	6.25
