#Wavelength	ele	EP	newloggf	vdwaals	Do	EW
5396.247	22.1	1.58	-3.100	-7.840	nan	10.40
5396.561	22.1	2.60	-2.316	-7.850	nan	7.19
5396.593	22.0	0.00	-3.690	-7.770	nan	1.54
5396.610	22.0	0.02	-4.111	-7.770	nan	0.57
5396.716	26.0	5.11	-2.149	-7.160	nan	2.35
5396.716	26.0	5.06	-2.008	-7.250	nan	3.56
5396.727	112.0	0.91	0.218	0.000	1.34	0.78
5396.890	24.1	4.48	-4.081	-7.758	nan	0.46
5396.898	26.0	3.02	-3.934	-7.820	nan	19.74
5397.135	26.0	0.92	-1.993	-7.759	nan	184.90
5397.135	112.0	0.91	0.520	0.000	1.34	0.00
5397.618	26.0	3.63	-2.378	-7.589	nan	24.68
5397.636	58.0	0.27	-0.161	0.000	nan	0.02
5398.279	26.0	4.45	-0.600	-7.144	nan	72.03
5398.306	112.0	0.64	-1.090	0.000	1.34	0.07
5398.812	26.0	5.01	-4.022	-7.460	nan	0.04
5398.845	14.0	5.61	-2.589	-6.860	nan	3.46
5399.450	25.0	3.85	-1.35	-6.35	nan	38.40
5399.455	25.0	3.85	-1.21	-6.35	nan	38.40
5399.465	25.0	3.85	-1.71	-6.35	nan	38.40
5399.465	25.0	3.85	-1.32	-6.35	nan	38.40
5399.478	25.0	3.85	-2.92	-6.35	nan	38.40
5399.485	25.0	3.85	-0.84	-6.35	nan	38.40
5399.494	25.0	3.85	-1.35	-6.35	nan	38.40
5399.497	25.0	3.85	-1.39	-6.35	nan	38.40
5399.521	25.0	3.85	-1.21	-6.35	nan	38.40
5399.555	25.0	3.85	-1.32	-6.35	nan	38.40
5399.710	606.0	1.10	-0.239	0.000	6.25	1.82
5399.760	27.0	4.21	-0.911	-7.450	nan	1.28
5400.501	26.0	4.37	-0.117	-7.187	nan	115.40
5400.620	24.0	3.38	-0.544	-7.649	nan	23.4
5400.655	26.0	3.63	-2.765	-7.82	nan	12.0
5401.266	26.0	4.32	-1.744	-7.219	nan	24.10
5401.719	112.0	0.98	0.527	0.000	1.34	2.60
5401.926	23.0	2.36	0.163	-7.760	nan	5.90
5402.057	26.1	10.56	0.235	-7.590	nan	0.21
5402.070	26.0	4.91	-1.485	-7.300	nan	14.09
5408.300	29.0	5.72	-0.401	-7.550	nan	0.50
5408.815	26.1	5.96	-2.215	-7.795	nan	3.57
5408.843	112.0	0.66	-0.783	0.000	1.34	0.14
5409.133	26.0	4.37	-1.070	-7.189	nan	70.89
5409.136	26.0	4.80	-2.565	-7.300	nan	1.78
5409.162	606.0	1.03	-0.039	0.000	6.25	1.07
5409.608	22.0	1.89	-0.780	-7.770	nan	12.20
5409.766	14.0	5.62	-2.894	-6.860	nan	1.70
5409.795	24.0	1.03	-0.607	-7.620	nan	126.80
5410.490	26.0	3.64	-3.803	-7.820	nan	7.10
5410.915	26.0	4.47	0.398	-7.132	nan	123.70
5411.175	22.0	3.15	-2.148	-7.520	nan	0.04
5411.218	28.0	4.09	-0.755	-7.37	nan	38.56
5411.371	26.0	5.02	-2.294	-7.470	nan	2.05
5411.389	26.0	3.64	-3.359	-7.820	nan	3.55
5411.397	62.0	0.39	-0.902	0.000	nan	0.00
5412.557	26.0	4.58	-3.126	-7.790	nan	0.80
5412.756	112.0	0.62	-1.178	0.000	1.34	0.06
5412.759	606.0	1.05	-0.325	0.000	6.25	0.53
5412.784	26.0	4.43	-1.784	-7.154	nan	18.92
5413.095	14.0	5.62	-1.900	-6.870	nan	4.91
5413.107	26.0	5.11	-2.138	-7.160	nan	2.41
5413.193	606.0	0.99	-0.427	0.000	6.25	0.48
5413.193	64.0	0.88	-0.674	0.000	nan	0.00
5413.220	59.1	0.06	-0.976	0.000	nan	0.99
5413.337	112.0	0.88	0.036	0.000	1.34	0.55
5413.368	64.0	0.84	-0.989	0.000	nan	0.00
5413.369	23.0	0.28	-2.852	-7.790	nan	0.55
